         2462365 function calls (2435072 primitive calls) in 2.872 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 __init__.py:23(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1489(_array_str_implementation)
       15    0.000    0.000    0.000    0.000 _distn_infrastructure.py:2816(__new__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1020(set_data)
       13    0.000    0.000    0.000    0.000 __init__.py:1412(debug)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.003    0.003 python.py:2(<module>)
        1    0.000    0.000    0.000    0.000 scale.py:759(_get_scale_docs)
       34    0.000    0.000    0.000    0.000 nanops.py:53(<genexpr>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
        1    0.000    0.000    0.000    0.000 blocks.py:2293(DatetimeTZBlock)
        6    0.000    0.000    0.000    0.000 weakref.py:343(__init__)
        3    0.000    0.000    0.000    0.000 pathlib.py:1277(mkdir)
        2    0.000    0.000    0.000    0.000 coloransi.py:48(make_color_table)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        1    0.000    0.000    0.002    0.002 pydoc.py:370(Doc)
        1    0.000    0.000    0.000    0.000 coo.py:1(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:253(_logged_cached)
        1    0.000    0.000    0.000    0.000 multikernelmanager.py:43(MultiKernelManager)
        8    0.000    0.000    0.001    0.000 _version.py:114(_compare)
      120    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
        6    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        8    0.000    0.000    0.000    0.000 std.py:1277(fp_write)
       11    0.000    0.000    0.000    0.000 version.py:51(__lt__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:591(_code_to_timestamp_pyc)
        1    0.000    0.000    0.001    0.001 subprocess.py:980(communicate)
        1    0.000    0.000    0.959    0.959 rcmod.py:1(<module>)
        2    0.000    0.000    0.000    0.000 contextlib.py:463(_push_exit_callback)
        3    0.000    0.000    0.000    0.000 blas.py:319(_get_funcs)
        1    0.000    0.000    0.004    0.004 osm.py:1(<module>)
        1    0.000    0.000    0.002    0.002 csr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:564(DatetimeTimedeltaMixin)
        1    0.000    0.000    0.000    0.000 comm.py:15(Comm)
        1    0.000    0.000    0.000    0.000 formatters.py:1(<module>)
        1    0.000    0.000    0.002    0.002 layout.py:13(<module>)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        7    0.000    0.000    0.000    0.000 rrule.py:69(__init__)
       56    0.000    0.000    0.000    0.000 inspect.py:90(ismethoddescriptor)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
       26    0.000    0.000    0.002    0.000 _basic.py:16(_dispatch)
       45    0.000    0.000    0.000    0.000 enum.py:847(_high_bit)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
        1    0.000    0.000    0.002    0.002 random_sequence.py:11(<module>)
        1    0.000    0.000    0.001    0.001 measurements.py:31(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:215(<listcomp>)
        1    0.000    0.000    0.001    0.001 openpy.py:1(<module>)
       91    0.000    0.000    0.000    0.000 docstring.py:99(copy)
        1    0.000    0.000    0.000    0.000 _constraints.py:1(<module>)
        1    0.000    0.000    0.000    0.000 indexers.py:34(BaseIndexer)
       66    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        6    0.000    0.000    0.000    0.000 sortedset.py:269(__make_cmp)
       32    0.000    0.000    0.000    0.000 pyparsing.py:209(__init__)
        1    0.000    0.000    0.000    0.000 _hypotests.py:1(<module>)
       16    0.000    0.000    0.000    0.000 std.py:95(__enter__)
       44    0.000    0.000    0.000    0.000 argparse.py:203(_indent)
        4    0.000    0.000    0.000    0.000 _strptime.py:238(pattern)
       23    0.000    0.000    0.000    0.000 _testutils.py:26(__init__)
        1    0.000    0.000    0.001    0.001 trf.py:1(<module>)
        1    0.000    0.000    0.000    0.000 offsets.py:2693(Second)
        1    0.000    0.000    0.001    0.001 boykovkolmogorov.py:11(<module>)
        1    0.000    0.000    0.001    0.001 texmanager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numpy_.py:102(PandasArray)
        8    0.000    0.000    0.000    0.000 platform.py:1076(python_implementation)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.002    0.002 script.py:68(ScriptMagics)
        1    0.000    0.000    0.001    0.001 argparse.py:4(<module>)
       18    0.000    0.000    0.000    0.000 stdlib.py:153(f)
        7    0.000    0.000    0.000    0.000 pyparsing.py:3707(__init__)
      204    0.000    0.000    0.000    0.000 py3compat.py:12(no_code)
        1    0.000    0.000    0.000    0.000 dtypes.py:164(CategoricalDtype)
        1    0.000    0.000    0.000    0.000 tritools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pytables.py:4574(AppendableMultiFrameTable)
        1    0.000    0.000    0.007    0.007 domwidget.py:4(<module>)
        1    0.000    0.000    0.008    0.008 _process_posix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:122(<listcomp>)
        1    0.000    0.000    0.000    0.000 matchhelpers.py:1(<module>)
        1    0.000    0.000    0.026    0.026 crashhandler.py:2(<module>)
        1    0.000    0.000    0.000    0.000 traitlets.py:2067(ObjectName)
        1    0.000    0.000    0.000    0.000 webbrowser.py:2(<module>)
        1    0.000    0.000    0.000    0.000 markers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:117(_process_plot_var_args)
       42    0.000    0.000    0.000    0.000 pyparsing.py:696(haskeys)
       41    0.000    0.000    0.000    0.000 pyparsing.py:3581(<genexpr>)
        4    0.000    0.000    0.000    0.000 polynomial.py:1153(__init__)
        1    0.000    0.000    0.001    0.001 eigenvector.py:13(<module>)
        1    0.000    0.000    0.000    0.000 interface.py:658(_ScaledLinearOperator)
       48    0.000    0.000    0.000    0.000 pyparsing.py:4034(<genexpr>)
        1    0.000    0.000    0.000    0.000 layout.py:26(Layout)
       16    0.000    0.000    0.000    0.000 pyparsing.py:1204(setResultsName)
        9    0.000    0.000    0.000    0.000 argparse.py:1474(_get_positional_kwargs)
        1    0.000    0.000    0.000    0.000 offsets.py:2688(Minute)
        1    0.000    0.000    0.000    0.000 offsets.py:2698(Milli)
        1    0.000    0.000    0.000    0.000 cobyla.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 widget_selection.py:141(_Selection)
      188    0.000    0.000    0.000    0.000 pyparsing.py:2656(<genexpr>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:663(__iadd__)
        1    0.000    0.000    0.001    0.001 _shgo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:66(Script)
       16    0.000    0.000    0.000    0.000 _string_helpers.py:72(english_capitalize)
       54    0.000    0.000    0.000    0.000 typing.py:886(<genexpr>)
        1    0.000    0.000    0.000    0.000 backend_managers.py:1(<module>)
      108    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        2    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:413(<listcomp>)
        1    0.000    0.000    0.000    0.000 _strptime.py:107(__calc_date_time)
        1    0.000    0.000    0.001    0.001 localinterfaces.py:1(<module>)
        6    0.000    0.000    0.017    0.003 __init__.py:35(load_module)
        1    0.000    0.000    0.000    0.000 offsets.py:2708(Nano)
       18    0.000    0.000    0.000    0.000 core.py:1003(__init__)
        1    0.000    0.000    0.001    0.001 lsq_linear.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client.py:767(HTTPConnection)
        1    0.000    0.000    0.001    0.001 coding.py:11(<module>)
        6    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.005    0.005 run_in_terminal.py:1(<module>)
        9    0.000    0.000    0.000    0.000 _dtype.py:333(_name_get)
        1    0.000    0.000    0.004    0.004 history.py:36(HistoryMagics)
        1    0.000    0.000    0.000    0.000 relativedelta.py:2(<module>)
        1    0.000    0.000    0.000    0.000 kcutsets.py:2(<module>)
        1    0.000    0.000    0.000    0.000 parquet.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _bsplines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _continuous_distns.py:6928(vectorize_decorator)
        1    0.000    0.000    0.000    0.000 axis3d.py:43(Axis)
        1    0.000    0.000    0.000    0.000 transforms.py:722(Bbox)
        1    0.000    0.000    0.000    0.000 offsets.py:156(DateOffset)
       13    0.000    0.000    0.000    0.000 nanops.py:58(__call__)
        1    0.000    0.000    0.008    0.008 rotation.py:1(<module>)
       22    0.000    0.000    0.000    0.000 argparse.py:286(add_arguments)
        1    0.000    0.000    0.001    0.001 betweenness.py:10(<module>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3774(__init__)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
      119    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        2    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        1    0.000    0.000    0.000    0.000 numba_.py:1(<module>)
       54    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:18(decorator)
        1    0.000    0.000    0.000    0.000 release.py:2(<module>)
      106    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        7    0.000    0.000    0.000    0.000 base.py:5228(_add_logical_methods_disabled)
        1    0.000    0.000    0.002    0.002 util.py:2(<module>)
        1    0.000    0.000    0.002    0.002 arguments.py:1(<module>)
       10    0.000    0.000    0.000    0.000 posixpath.py:100(split)
        1    0.000    0.000    0.000    0.000 wildcard.py:22(create_typestr2type_dicts)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.001    0.001 stoerwagner.py:7(<module>)
        1    0.000    0.000    0.001    0.001 widget_media.py:4(<module>)
        1    0.000    0.000    0.000    0.000 decomp_schur.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cubehelix.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _cubic.py:1(<module>)
        3    0.000    0.000    0.000    0.000 types.py:244(coroutine)
        1    0.000    0.000    0.000    0.000 multikernelmanager.py:1(<module>)
        3    0.000    0.000    0.001    0.000 base.py:5116(_add_logical_methods)
        1    0.000    0.000    0.002    0.002 image.py:1319(BboxImage)
        1    0.000    0.000    0.000    0.000 base.py:11(ExtensionDtype)
       35    0.000    0.000    0.000    0.000 __init__.py:2363(_is_egg_path)
        1    0.000    0.000    0.001    0.001 _ni_docstrings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client.py:33(KernelClient)
        2    0.000    0.000    0.002    0.001 pyparsing.py:5679(srange)
        1    0.000    0.000    0.001    0.001 group.py:10(<module>)
       16    0.000    0.000    0.000    0.000 cubehelix.py:397(<listcomp>)
        1    0.000    0.000    0.000    0.000 timedeltas.py:69(TimedeltaArray)
        1    0.000    0.000    0.000    0.000 current.py:1(<module>)
        1    0.000    0.000    0.000    0.000 inference.py:1(<module>)
        1    0.000    0.000    0.001    0.001 kcomponents.py:2(<module>)
        1    0.000    0.000    0.000    0.000 contour.py:48(ContourLabeler)
        1    0.000    0.000    0.001    0.001 _differentiable_functions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compressed.py:27(_cs_matrix)
       24    0.000    0.000    0.000    0.000 pyparsing.py:411(__getitem__)
       24    0.000    0.000    0.000    0.000 dviread.py:155(<listcomp>)
        1    0.000    0.000    0.002    0.002 fitpack.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _internal.py:830(npy_ctypes_check)
        1    0.000    0.000    0.000    0.000 pdb.py:137(Pdb)
       20    0.000    0.000    0.000    0.000 dtypes.py:715(construct_from_string)
        1    0.000    0.000    0.002    0.002 atlas.py:10(<module>)
       73    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        2    0.000    0.000    0.000    0.000 _version.py:7(<module>)
       15    0.000    0.000    0.000    0.000 pyparsing.py:4861(__str__)
       48    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.001    0.001 matplotlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 textpath.py:349(TextPath)
       62    0.000    0.000    0.000    0.000 typing.py:598(<genexpr>)
        1    0.000    0.000    0.000    0.000 ssl.py:971(SSLSocket)
       16    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 difflib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 trf_linear.py:1(<module>)
     15/4    0.000    0.000    0.000    0.000 pyparsing.py:3762(streamline)
        1    0.000    0.000    0.000    0.000 base.py:84(DynamicClipboard)
        1    0.000    0.000    0.000    0.000 small.py:2(<module>)
        1    0.000    0.000    0.000    0.000 pylabtools.py:2(<module>)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
        1    0.000    0.000    0.000    0.000 collections.py:22(Collection)
      138    0.000    0.000    0.000    0.000 pyparsing.py:1643(postParse)
        1    0.000    0.000    0.002    0.002 backend_cairo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 constant_names.py:1(<module>)
        1    0.000    0.000    0.000    0.000 async_helpers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fuzzy_completer.py:1(<module>)
       11    0.000    0.000    0.016    0.001 magic_arguments.py:201(__call__)
        9    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        1    0.000    0.000    0.000    0.000 widget_output.py:4(<module>)
       58    0.000    0.000    0.000    0.000 pyparsing.py:642(__bool__)
       20    0.000    0.000    0.000    0.000 methods.py:89(_wrap_inplace_method)
        1    0.000    0.000    0.002    0.002 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 macro.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:338(_BaseExcelReader)
        1    0.000    0.000    0.000    0.000 typing.py:1838(IO)
        1    0.000    0.000    0.001    0.001 asyn_fluid.py:6(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:368(check_output)
        1    0.000    0.000    0.000    0.000 mycarta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 controls.py:509(BufferControl)
        1    0.000    0.000    0.000    0.000 parser_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _process_common.py:1(<module>)
        1    0.000    0.000    0.001    0.001 biconnected.py:12(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:405(_Pickler)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6660(__init__)
        7    0.000    0.000    0.000    0.000 nonlin.py:1542(<listcomp>)
       59    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        4    0.000    0.000    0.000    0.000 sortedlist.py:141(__init__)
        3    0.000    0.000    0.000    0.000 rcsetup.py:957(validate_webagg_address)
       14    0.000    0.000    0.000    0.000 pyparsing.py:3233(charsAsStr)
        1    0.000    0.000    0.000    0.000 _quad_vec.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1804(<dictcomp>)
        1    0.000    0.000    0.000    0.000 handlers.py:17(<module>)
        1    0.000    0.000    0.001    0.001 core.py:13(<module>)
        1    0.000    0.000    0.000    0.000 tracker.py:1(<module>)
        1    0.000    0.000    0.002    0.002 namespace.py:33(NamespaceMagics)
        1    0.000    0.000    0.000    0.000 _monitor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _linprog_util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 oinspect.py:55(<setcomp>)
        1    0.000    0.000    0.000    0.000 emacs.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:646(_get_data_path)
        1    0.000    0.000    0.018    0.018 negative.py:1(<module>)
        4    0.000    0.000    0.000    0.000 fontconfig_pattern.py:161(_property)
        6    0.000    0.000    0.000    0.000 nanops.py:87(__call__)
        7    0.000    0.000    0.000    0.000 function_base.py:2048(<listcomp>)
        1    0.000    0.000    0.000    0.000 stata.py:2815(StataWriter117)
       16    0.000    0.000    0.000    0.000 strings.py:1962(_noarg_wrapper)
        1    0.000    0.000    0.000    0.000 quopri.py:3(<module>)
        4    0.000    0.000    0.001    0.000 __init__.py:719(gen_candidates)
        2    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.001    0.001 gomory_hu.py:12(<module>)
       36    0.000    0.000    0.000    0.000 cycler.py:371(<genexpr>)
        1    0.000    0.000    0.001    0.001 multiline_adjlist.py:2(<module>)
        1    0.000    0.000    0.002    0.002 strongly_connected.py:13(<module>)
       95    0.000    0.000    0.000    0.000 pyparsing.py:285(<genexpr>)
        4    0.000    0.000    0.000    0.000 rcsetup.py:427(validate_mathtext_default)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
        1    0.000    0.000    0.000    0.000 interface.py:504(_CustomLinearOperator)
       33    0.000    0.000    0.000    0.000 normalizer.py:79(register_rule)
        1    0.000    0.000    0.000    0.000 ssl.py:223(_TLSMessageType)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 offsets.py:2703(Micro)
        1    0.000    0.000    0.000    0.000 defchararray.py:1810(chararray)
       22    0.000    0.000    0.000    0.000 numpy_.py:438(_create_arithmetic_method)
        8    0.000    0.000    0.000    0.000 cm.py:79(register_cmap)
        1    0.000    0.000    0.000    0.000 machar.py:1(<module>)
       11    0.000    0.000    0.000    0.000 rcsetup.py:244(validate_backend)
        1    0.000    0.000    0.000    0.000 screen.py:1(<module>)
       48    0.000    0.000    0.000    0.000 pyparsing.py:4239(<genexpr>)
        1    0.000    0.000    0.000    0.000 displaypub.py:126(CapturingDisplayPublisher)
       48    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       32    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ptutils.py:1(<module>)
       22    0.000    0.000    0.004    0.000 gettext.py:750(gettext)
        1    0.000    0.000    0.000    0.000 widget_selection.py:283(_MultipleSelection)
        6    0.000    0.000    0.000    0.000 patches.py:1788(<listcomp>)
        8    0.000    0.000    0.001    0.000 decorators.py:354(random_state)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
       67    0.000    0.000    0.000    0.000 lexer.py:302(bygroups)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:153(_families)
        1    0.000    0.000    0.001    0.001 label_propagation.py:7(<module>)
       20    0.000    0.000    0.000    0.000 dtypes.py:334(construct_from_string)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.001    0.001 nx_pydot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1351(ParserElement)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        2    0.000    0.000    0.000    0.000 getlimits.py:239(_get_machar)
        1    0.000    0.000    0.000    0.000 quiver.py:452(Quiver)
        1    0.000    0.000    0.000    0.000 widget_controller.py:36(Controller)
        1    0.000    0.000    0.000    0.000 datetimes.py:56(DatetimeDelegateMixin)
        1    0.000    0.000    0.000    0.000 _ellip_harm.py:1(<module>)
        2    0.000    0.000    0.000    0.000 debug.py:1(<module>)
        1    0.000    0.000    0.000    0.000 containers.py:1106(WindowRenderInfo)
        1    0.000    0.000    0.001    0.001 pajek.py:9(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:1(<module>)
        4    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:141(_family)
        1    0.000    0.000    0.000    0.000 patches.py:693(Rectangle)
        1    0.000    0.000    0.000    0.000 unistring.py:2(<module>)
        8    0.000    0.000    0.000    0.000 array.py:1417(_create_comparison_method)
        1    0.000    0.000    0.000    0.000 _onenormest.py:1(<module>)
       20    0.000    0.000    0.000    0.000 mixins.py:20(_binary_method)
    13/12    0.000    0.000    0.000    0.000 pyparsing.py:3434(__str__)
        9    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 magics.py:1(<module>)
        1    0.000    0.000    0.004    0.004 version.py:191(Version)
        1    0.000    0.000    0.000    0.000 widget_selection.py:590(SelectionRangeSlider)
        1    0.000    0.000    0.000    0.000 dtype.py:1(<module>)
       95    0.000    0.000    0.000    0.000 pyparsing.py:203(<genexpr>)
       11    0.000    0.000    0.000    0.000 argparse.py:676(_fill_text)
        1    0.000    0.000    0.001    0.001 pty.py:1(<module>)
        4    0.000    0.000    0.000    0.000 base.py:5111(_add_numeric_methods)
        1    0.000    0.000    0.000    0.000 events.py:205(AbstractEventLoop)
        1    0.000    0.000    0.000    0.000 _tukeylambda_stats.py:1(<module>)
        4    0.000    0.000    0.000    0.000 rcsetup.py:454(validate_whiskers)
        1    0.000    0.000    0.000    0.000 base.py:131(SelectionMixin)
        1    0.000    0.000    0.000    0.000 __init__.py:236(_sanity_check)
        5    0.000    0.000    0.001    0.000 std.py:1316(refresh)
        1    0.000    0.000    0.000    0.000 pyparsing.py:324(ParseResults)
        1    0.000    0.000    0.001    0.001 widget_bool.py:4(<module>)
        8    0.000    0.000    0.000    0.000 ipstruct.py:41(__init__)
       11    0.000    0.000    0.000    0.000 magic_arguments.py:102(add_usage)
        1    0.000    0.000    0.000    0.000 dynamic_arrays.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:2380(FancyBboxPatch)
        1    0.000    0.000    0.001    0.001 hmn.py:4(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:82(_determine_error_states)
        1    0.000    0.000    0.000    0.000 transforms.py:1745(Affine2DBase)
        1    0.000    0.000    0.000    0.000 morphology.py:31(<module>)
        1    0.000    0.000    0.000    0.000 rotation.py:176(Rotation)
        1    0.000    0.000    0.000    0.000 quadpack.py:3(<module>)
       11    0.000    0.000    0.000    0.000 pyparsing.py:3851(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1103(ParserElement)
        1    0.000    0.000    0.000    0.000 __init__.py:34(_build_functions)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 temporalisomorphvf2.py:2(<module>)
        4    0.000    0.000    0.000    0.000 threading.py:979(join)
        1    0.000    0.000    0.002    0.002 bridges.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:147(EventType)
        2    0.000    0.000    0.000    0.000 textwrap.py:381(fill)
        1    0.000    0.000    0.000    0.000 masked.py:1(<module>)
        1    0.000    0.000    0.001    0.001 gzip.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _mapping.py:2(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:625(PurePath)
        1    0.000    0.000    0.006    0.006 cElementTree.py:3(<module>)
        1    0.000    0.000    0.000    0.000 dual.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tree.py:7(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:69(_from_ctypes_scalar)
        1    0.000    0.000    0.000    0.000 client.py:59(AsyncKernelClient)
        1    0.000    0.000    0.000    0.000 cycler.py:77(Cycler)
        1    0.000    0.000    0.000    0.000 ismags.py:235(ISMAGS)
        1    0.000    0.000    0.007    0.007 _basic.py:1(<module>)
        1    0.000    0.000    0.008    0.008 stub_value.py:1(<module>)
        6    0.000    0.000    0.000    0.000 integer.py:505(_create_comparison_method)
        1    0.000    0.000    0.002    0.002 asteroidal.py:10(<module>)
        1    0.000    0.000    0.001    0.001 wcwidth.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:161(<listcomp>)
        1    0.000    0.000    0.001    0.001 modularity_max.py:16(<module>)
        1    0.000    0.000    0.000    0.000 excolors.py:18(exception_colors)
        1    0.000    0.000    0.000    0.000 dogbox.py:1(<module>)
       14    0.000    0.000    0.002    0.000 decorators.py:250(nodes_or_number)
        1    0.000    0.000    0.001    0.001 nx_yaml.py:1(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:23(find_module)
        1    0.000    0.000    0.000    0.000 coloransi.py:2(<module>)
        1    0.000    0.000    0.000    0.000 sortedlist.py:1676(SortedKeyList)
        1    0.000    0.000    0.000    0.000 module.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:385(__init__)
       18    0.000    0.000    0.000    0.000 _add_newdocs.py:6703(type_aliases_gen)
        1    0.000    0.000    0.002    0.002 jsonutil.py:2(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:474(SSLContext)
        1    0.000    0.000    0.000    0.000 bdb.py:1(<module>)
       35    0.000    0.000    0.000    0.000 wesanderson.py:401(<genexpr>)
        1    0.000    0.000    0.000    0.000 spawnbase.py:1(<module>)
        1    0.000    0.000    0.001    0.001 splitinput.py:2(<module>)
       50    0.000    0.000    0.000    0.000 _strptime.py:234(<genexpr>)
       92    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        1    0.000    0.000    0.000    0.000 lazy.py:172(<listcomp>)
        1    0.000    0.000    0.000    0.000 xmlbuilder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _strptime.py:173(__init__)
        1    0.000    0.000    0.000    0.000 current.py:24(AppSession)
       26    0.000    0.000    0.000    0.000 __init__.py:2370(_is_unpacked_egg)
        1    0.000    0.000    0.008    0.008 chordal.py:2(<module>)
        1    0.000    0.000    0.002    0.002 namespace.py:1(<module>)
        1    0.000    0.000    0.000    0.000 extension.py:194(ExtensionIndex)
     16/2    0.000    0.000    0.001    0.001 pyparsing.py:3737(parseImpl)
        1    0.000    0.000    0.001    0.001 greedy_coloring.py:9(<module>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:868(RegularPolygon)
        1    0.000    0.000    0.000    0.000 lbfgsb.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:5329(delimitedList)
       16    0.000    0.000    0.000    0.000 boolean.py:741(_create_arithmetic_method)
       30    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        1    0.000    0.000    0.000    0.000 paths.py:1(<module>)
        1    0.000    0.000    0.000    0.000 widget_templates.py:108(AppLayout)
        2    0.000    0.000    0.000    0.000 utils.py:2(<module>)
        1    0.000    0.000    0.016    0.016 backend_qt5agg.py:1(<module>)
       13    0.000    0.000    0.000    0.000 rcsetup.py:163(validate_axisbelow)
        5    0.000    0.000    0.000    0.000 pyparsing.py:1490(_setResultsName)
       12    0.000    0.000    0.000    0.000 textwrap.py:465(indent)
        1    0.000    0.000    0.000    0.000 channelsabc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blocking_input.py:1(<module>)
        1    0.000    0.000    0.000    0.000 reportviews.py:11(<module>)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
       61    0.000    0.000    0.000    0.000 pyparsing.py:2159(streamline)
