         2462365 function calls (2435072 primitive calls) in 2.872 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15711    0.007    0.000    0.008    0.000 {built-in method builtins.setattr}
      479    0.007    0.000    0.036    0.000 inspect.py:1090(getfullargspec)
    50778    0.007    0.000    0.007    0.000 {method 'rstrip' of 'str' objects}
        1    0.007    0.007    0.008    0.008 arc_generators.py:139(<dictcomp>)
    10000    0.007    0.000    0.035    0.000 random.py:669(betavariate)
     8012    0.007    0.000    0.007    0.000 {method 'format' of 'str' objects}
    14955    0.007    0.000    0.010    0.000 sre_parse.py:164(__getitem__)
    16818    0.007    0.000    0.007    0.000 {method 'rpartition' of 'str' objects}
   1655/8    0.007    0.000    2.455    0.307 <frozen importlib._bootstrap_external>:777(exec_module)
      830    0.007    0.000    0.164    0.000 decorator.py:196(create)
    11893    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
    17547    0.007    0.000    0.015    0.000 sre_parse.py:254(get)
      522    0.007    0.000    0.091    0.000 {built-in method builtins.sorted}
     1653    0.007    0.000    0.328    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
     1538    0.007    0.000    0.013    0.000 functools.py:34(update_wrapper)
      629    0.007    0.000    0.062    0.000 textwrap.py:414(dedent)
 2634/747    0.006    0.000    0.009    0.000 sre_parse.py:174(getwidth)
     2574    0.006    0.000    0.037    0.000 utils.py:190(get_map)
    20000    0.006    0.000    0.006    0.000 data_structure.py:52(predecessors)
     9770    0.006    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
        2    0.006    0.003    0.021    0.011 arc_generators.py:67(gen_loop_arcs)
    34516    0.006    0.000    0.006    0.000 {built-in method builtins.round}
    20000    0.006    0.000    0.006    0.000 {built-in method _bisect.bisect_left}
      103    0.006    0.000    0.006    0.000 {built-in method builtins.dir}
    20001    0.006    0.000    0.006    0.000 data_structure.py:47(arcs)
    10000    0.006    0.000    0.073    0.000 arc_generators.py:14(gen_tree_arcs)
     1653    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
1835/1833    0.005    0.000    0.116    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
       43    0.005    0.000    0.012    0.000 enum.py:129(__new__)
    23678    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
        1    0.005    0.005    0.013    0.013 random.py:293(shuffle)
    41100    0.005    0.000    0.005    0.000 {method 'getrandbits' of '_random.Random' objects}
     2466    0.005    0.000    0.017    0.000 utils.py:70(<listcomp>)
 2056/782    0.005    0.000    1.719    0.002 <frozen importlib._bootstrap>:1017(_handle_fromlist)
    19998    0.005    0.000    0.005    0.000 {built-in method _bisect.bisect_right}
      371    0.005    0.000    0.012    0.000 colors.py:193(_to_rgba_no_colorcycle)
      757    0.005    0.000    0.022    0.000 typing.py:659(__init__)
     4959    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
        1    0.005    0.005    0.012    0.012 random.py:315(sample)
    10002    0.005    0.000    0.023    0.000 random.py:244(randint)
     1808    0.005    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
     7607    0.005    0.000    0.005    0.000 {method 'replace' of 'str' objects}
  896/332    0.005    0.000    0.082    0.000 sre_parse.py:435(_parse_sub)
     3944    0.004    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
     1864    0.004    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
     1968    0.004    0.000    0.007    0.000 posixpath.py:71(join)
      830    0.004    0.000    0.007    0.000 decorator.py:145(update)
      100    0.004    0.000    0.130    0.001 _distn_infrastructure.py:1572(__init__)
      452    0.004    0.000    0.089    0.000 decorator.py:258(decorator)
     3312    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
2291/2118    0.004    0.000    0.051    0.000 typing.py:255(inner)
     3819    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
     3463    0.004    0.000    0.031    0.000 <frozen importlib._bootstrap>:376(cached)
    19999    0.004    0.000    0.004    0.000 data_structure.py:55(successors)
      468    0.004    0.000    0.103    0.000 decorator.py:224(decorate)
     1042    0.004    0.000    0.005    0.000 version.py:343(_cmpkey)
    13287    0.004    0.000    0.004    0.000 {method 'endswith' of 'str' objects}
     1513    0.004    0.000    0.009    0.000 typing.py:120(_type_check)
     1936    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:176(cb)
      212    0.004    0.000    0.004    0.000 {built-in method io.open}
     4574    0.004    0.000    0.004    0.000 {method 'update' of 'dict' objects}
